,0
TotalSF,0.09767393
FireplaceQu_Missing,0.06316109
ExterQual,0.053553913
KitchenQual,0.048311677
GarageCars,0.038611863
TotalBath,0.032361493
CentralAir_N,0.030978698
BsmtQual,0.022514451
KitchenAbvGr,0.02229229
ExterQual_Ex,0.01986237
CentralAir_Y,0.019784689
BsmtFinType1_GLQ,0.017552342
Fireplaces,0.016319335
HouseAge,0.014593281
BsmtQual_Ex,0.014153527
MSSubClass_60,0.013939349
GarageQual_TA,0.013845038
PavedDrive_Y,0.012652904
MSSubClass_30,0.01219517
GarageCond,0.011246613
OverallCond_3,0.010079958
GrLivArea,0.009809985
MSZoning_RM,0.008632064
GarageType_Detchd,0.008392688
MSZoning_RL,0.00822658
GarageQual,0.008070402
OverallQual_4,0.0075836997
PavedDrive_N,0.007558436
MSZoning_C (all),0.007269919
RemodAge,0.007011433
